u,v,key,oneway,length,ref,bridge,junction,tunnel,area,geometry
176439740,1201255964,0,False,54.424,,,,,,"LINESTRING (475531.4599660083 4428000.299086069, 475585.99287169165 4427999.480145896)"
176439740,176439726,0,False,110.076,,,,,,"LINESTRING (475531.4599660083 4428000.299086069, 475516.3794208454 4428001.013551673, 475509.04927238025 4427999.028195497, 475488.4185025869 4427977.950725974, 475485.5974018899 4427976.627915604, 475479.5327005907 4427975.315559434, 475442.4240175005 4427982.250135529, 475431.5193037725 4427983.528448102)"
176439740,8705132064,0,False,47.304,,,,,,"LINESTRING (475531.4599660083 4428000.299086069, 475531.2876909655 4428036.971281139, 475531.2533170101 4428047.515598788)"
176439740,176489690,0,False,195.853,,,,,,"LINESTRING (475531.4599660083 4428000.299086069, 475529.8255644915 4427821.219346037, 475529.63111172087 4427811.186329464, 475529.4996543072 4427804.815833655)"
176439744,1201255927,0,False,49.667,,,,,,"LINESTRING (475635.6264367194 4427998.732780675, 475685.3982483211 4427998.506958152)"
176439744,1201255964,0,False,49.535,,,,,,"LINESTRING (475635.6264367194 4427998.732780675, 475585.99287169165 4427999.480145896)"
176439744,2498910906,0,False,128.213,,,,,,"LINESTRING (475635.6264367194 4427998.732780675, 475636.7500254629 4428051.061740209, 475635.8996567434 4428126.694173666)"
176439744,11258777323,0,False,188.789,,,,,,"LINESTRING (475635.6264367194 4427998.732780675, 475635.9456094696 4427813.187070442, 475635.9534051465 4427810.29016467)"
176439746,1201255937,0,False,50.82,,,,,,"LINESTRING (475734.1142455516 4427999.106166678, 475785.0403938768 4427999.509966566)"
176439746,1201255927,0,False,48.617,,,,,,"LINESTRING (475734.1142455516 4427999.106166678, 475685.3982483211 4427998.506958152)"
176439746,176488611,0,False,208.414,,,,,,"LINESTRING (475734.1142455516 4427999.106166678, 475735.3240376852 4428207.133941257)"
176439746,11258777321,0,False,189.399,,,,,,"LINESTRING (475734.1142455516 4427999.106166678, 475733.5159933027 4427811.53225883, 475733.5454291384 4427810.055976792)"
176439750,1201255949,0,False,49.429,,,,,,"LINESTRING (475833.52417890873 4427999.566691686, 475883.05747219897 4427999.498308082)"
176439750,1201255937,0,False,48.382,,,,,,"LINESTRING (475833.52417890873 4427999.566691686, 475785.0403938768 4427999.509966566)"
176439750,176492325,0,True,207.746,,,,,,"LINESTRING (475833.52417890873 4427999.566691686, 475834.6779243525 4428206.92868948)"
176439754,1201255953,0,False,35.708,,,,,,"LINESTRING (475932.20700584905 4427999.542452557, 475967.9899591054 4427999.762314231)"
176439754,1201255949,0,False,49.046,,,,,,"LINESTRING (475932.20700584905 4427999.542452557, 475883.05747219897 4427999.498308082)"
176439754,176491034,0,False,208.916,,,,,,"LINESTRING (475932.20700584905 4427999.542452557, 475931.81681827875 4428208.074741307)"
176439754,11258777317,0,False,189.869,,,,,,"LINESTRING (475932.20700584905 4427999.542452557, 475932.4497760862 4427811.843815342, 475932.5208420004 4427810.023328821)"
176439756,1203601625,0,False,52.457,,,,,,"LINESTRING (476004.59965234366 4427999.591266084, 476057.1650188345 4428000.113808239)"
176439756,1201255953,0,False,36.533,,,,,,"LINESTRING (476004.59965234366 4427999.591266084, 475967.9899591054 4427999.762314231)"
176439756,5090691361,0,False,87.958,,,,,,"LINESTRING (476004.59965234366 4427999.591266084, 476004.16808899323 4428087.386983467)"
176439756,11258798872,0,False,188.266,,,,,,"LINESTRING (476004.59965234366 4427999.591266084, 476003.24560721964 4427813.851132306, 476003.2472821177 4427811.675692428)"
176439760,1203601625,0,False,53.901,,,,,,"LINESTRING (476099.91209322325 4427999.9794025365, 476057.1650188345 4428000.113808239)"
176443991,176484278,0,False,19.237,,,,,,"LINESTRING (475128.3352359933 4429740.559869525, 475128.2382946029 4429721.358571893)"
176443991,395375479,0,False,53.722,,,,,,"LINESTRING (475128.3352359933 4429740.559869525, 475127.8705910343 4429794.181624048)"
176443991,176443997,0,False,148.79899999999998,,,,,,"LINESTRING (475128.3352359933 4429740.559869525, 475165.0288915206 4429737.298862921, 475211.2462693104 4429728.757059501, 475275.29528728005 4429716.250618766)"
176443997,176444001,0,False,52.745,,,,,,"LINESTRING (475275.29528728005 4429716.250618766, 475326.949041901 4429705.08353491)"
176443997,395375480,0,False,78.401,,,,,,"LINESTRING (475275.29528728005 4429716.250618766, 475257.963769308 4429792.580682914)"
176443997,176443991,0,False,148.79899999999998,,,,,,"LINESTRING (475275.29528728005 4429716.250618766, 475211.2462693104 4429728.757059501, 475165.0288915206 4429737.298862921, 475128.3352359933 4429740.559869525)"
176444001,176443997,0,False,52.745,,,,,,"LINESTRING (475326.949041901 4429705.08353491, 475275.29528728005 4429716.250618766)"
176444001,176489858,0,False,66.34700000000001,,,,,,"LINESTRING (475326.949041901 4429705.08353491, 475340.07424759696 4429702.454845365, 475391.51659269247 4429715.562828568)"
176444001,176487070,0,False,42.072,,,,,,"LINESTRING (475326.949041901 4429705.08353491, 475323.70383580914 4429701.74210816, 475311.0655268803 4429688.741576335, 475308.83069134125 4429686.4401999395, 475292.8985933879 4429684.061226046)"
176448819,176484265,0,False,54.437,,,,,,"LINESTRING (475239.00204516086 4429436.291620831, 475223.716478602 4429488.4521201905)"
176448819,176448982,0,False,11.325,,,,,,"LINESTRING (475239.00204516086 4429436.291620831, 475241.80828821566 4429425.338680044)"
176448819,176408601,0,True,103.877,CO 119,,,,,"LINESTRING (475239.00204516086 4429436.291620831, 475138.2722307758 4429410.137592387)"
176448821,176448981,0,False,11.557,,,,,,"LINESTRING (475350.86244864605 4429465.907138186, 475353.98410024436 4429454.797828432)"
176448821,176487063,0,False,52.294,,,,,,"LINESTRING (475350.86244864605 4429465.907138186, 475339.0282606433 4429516.757610452)"
176448821,176448819,0,True,115.502,CO 119,,,,,"LINESTRING (475350.86244864605 4429465.907138186, 475279.2237077194 4429446.727194905, 475239.00204516086 4429436.291620831)"
176448847,176448955,0,False,11.708,,,,,,"LINESTRING (475828.1135104399 4429471.700631827, 475829.51037547895 4429460.097541759)"
176448847,544300494,0,False,8.949,,,,,,"LINESTRING (475828.1135104399 4429471.700631827, 475825.84528571327 4429480.343009397)"
